scenario,car_id,arrival_time,wait_time,departure_time
Early Merge,87,160.83140914637832,21.43072550107007,183.92977735449472
Early Merge,88,162.86118786423037,21.43373311242803,186.26540764361764
Early Merge,89,167.2256916890334,19.066345146527652,187.9335326878745
Early Merge,90,168.503823955786,19.936970320281148,190.21784698777378
Early Merge,91,168.758568743017,21.86716303100215,192.52672922981526
Early Merge,92,171.2568214316502,21.416218075358785,194.646190545843
Early Merge,93,174.1176069378039,20.707526365404902,196.38507402179766
Early Merge,94,175.76538192757556,20.721525062903908,198.22000674331127
Early Merge,95,178.71316186101828,19.51810851214165,199.93628131092774
Early Merge,96,180.07479132403884,19.943142964149047,201.68726844167315
Early Merge,97,181.55414900159337,20.45788102229301,204.1651208719426
Early Merge,98,182.66977738941023,21.496272039345655,206.04704577094807
Early Merge,99,182.72127293739047,23.40691561287565,207.6760117593991
Early Merge,100,182.94960780777419,24.82795957059585,209.761139767781
Early Merge,101,183.0134751703603,26.901841202245492,212.1397476120083
Early Merge,102,185.0369342722154,27.607598435023505,214.65102575934912
Early Merge,103,185.7917276898056,28.944333491721665,216.23218718833647
Early Merge,104,187.212602044074,29.104806441454173,218.02056167095492
Early Merge,105,191.97513310376596,26.312930357522077,220.34144569112536
Early Merge,106,192.54861074973255,27.913210496091267,222.12028735270005
Early Merge,107,193.6051746994979,28.5659891479427,224.05992773306986
Early Merge,108,196.42267299457507,27.757711208610033,226.13531101387096
Early Merge,109,196.94228330840986,29.223391689847375,227.78028890394162
Early Merge,110,197.10249186551022,30.716607939073015,229.60719473337087
Early Merge,111,197.78677247328434,31.958399868647092,230.89691887391763
Early Merge,112,198.13838919028447,32.867104926884366,232.60061658890197
Early Merge,113,203.44828936204573,29.644985773906797,234.8427615056739
Early Merge,114,206.75006352301486,28.18270489926698,236.48321178588887
Early Merge,115,208.7570519040559,27.899940358590015,238.78347452343226
Early Merge,116,212.86009136509753,26.123461312838288,240.49752440234369
Early Merge,117,216.11602924657865,24.38413134473018,242.21215169396942
Early Merge,118,216.52902019929593,25.900985134080685,244.25615344883383
Early Merge,119,220.99064700976706,23.304718167106614,246.3836198346869
Early Merge,120,222.5408468136994,24.491972675441986,248.5456470589055
Early Merge,121,225.83554339630655,22.74229304346099,250.61046919019853
Early Merge,122,230.364028694879,20.35354071822684,252.51961602530977
Early Merge,123,231.12949012771566,21.407968585124223,254.1411569826303
Early Merge,124,231.36267444796334,23.9320988576971,257.1871940005131
Early Merge,125,231.8800479402421,25.446655433402668,259.16651531275943
Early Merge,126,232.99416332573932,26.35331585183789,261.0274358021455
Early Merge,127,236.4018227790172,24.639499433293906,262.8552826293091
Early Merge,128,240.34451272277687,22.787997157575433,264.85544716097996
Early Merge,129,240.35846554114016,24.54410218748984,266.72527119768023
Early Merge,130,241.78821785981728,25.393716309225283,269.1143603039468
Early Merge,131,242.86876450165462,26.29151356792434,271.27748143280803
Early Merge,132,243.37109917820626,27.948696340563544,272.87223241900443
Early Merge,133,243.62645996129757,29.25321932607838,275.1062859623072
Early Merge,134,244.45027712102242,30.78376599994388,276.6436255610618
Early Merge,135,250.17651936640473,26.633515015392305,278.57967736278994
Early Merge,136,250.95728697216768,27.635983778658073,280.51093419212265
Early Merge,137,252.420192583688,28.389542127154357,282.66593308438934
Early Merge,138,254.8483665374497,27.938333476998366,284.4621601104839
